Law-Name,Category,Chapter,Article-Category,Article-Number,Article-Description,Punishment
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya XVI,Nta muntu n'umwe wemerewe guhabwa indishyi hakurikijwe ibiteganywa n'aya Masezerano kandi yarahawe indishyi ku byangijwe n'ingufu za kirimbuzi bimwe hakurikijwe andi masezerano mpuzamahanga yerekeye uburyozwe bw'indishyi mu bijyanye n'ingufu za kirimbuzi.,
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya XVII,"Aya Masezerano ntashobora kugira icyo ahungabanya mu mibanire hagati y’ibihugu bihuriye kuri aya ku ikurikizwa ry'ubwumvikane mpuzamahanga cyangwa amasezerano mpuzamahanga ku birebana
n’ingufu za kirimbuzi akurikizwa, habe no
kuyemerewe gushyirwaho umukono,
agomba kwemezwa burundu cyangwa
ayemerera igihugu kwemera kuba kimwe mu
biyahuriyeho ku itariki aya Masezerano
yemereweho gushyirwaho umukono.
 ",
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya XIX,"1. Igihugu icyo ari cyo cyose kiri muri aya
Masezerano gikoze amasezerano hakurkijwe
ibiteganywa n'agace ka (b) k'igika cya 3
cy’ingingo ya XI kigomba kwihutira
gushyikiriza Umuyobozi mukuru w'Ikigo
mpuzamahanga cyita ku ngufu za kirimbuzi
kugira ngo atange amakuru kandi atangaze  ku bindi bihugu bihuriye kuri aya
Masezerano inyandukuro y'ayo masezerano  2. Ibihugu bihuriye kuri aya Masezerano
bigomba gushyikiriza Umuyobozi mukuru
kugira ngo bimuhe amakuru kandi
amenyeshe ibindi bihugu biyahuriyeho
inyandukuro y’amategeko yabyo
n’amabwiriza bijyanye byerekeranye
n’ibigengwa n’aya Masezerano.
 ",
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya XX,"Hatabangamiwe ukwivana mu ikurikizwa ry’aya Masezerano ku gihugu kiri muri aya Masezerano, haba kuyivanamo hakurikijwe ibiteganywa n'ingingo ya XXV cyangwa kuyivanamo hakurikijwe ibiteganywa n'ingingo ya XXVI, ibiteganywa n'aya Masezerano bikomeza kubahirizwa ku byangijwe ibyo ari byo byose n'ingufu za kirimbuzi byaterwa n'impanuka y'ingufu za kirimbuzi yabaye mbere yo kuyivanamo.",
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya XXI,Aya Masezerano yemerewe gushyirwaho umukono n’ibihugu bihagarariwe mu nama mpuzamahanga yiga ku buryozwe bw'indishyi ku byangijwe n'ingufu za kirimbuzi yateraniye i Viyene kuva ku wa 29 Mata kugera ku wa 19 Gicurasi 1963.,
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya XXII,"Aya Masezerano yemezwa burundu, kandi
inyandiko zo kuyemeza burundu zibikwa
n'Umuyobozi mukuru w'Ikigo
mpuzamahanga cyita ku ngufu za kirimbuzi.",
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,"
Ingingo ya XXIII","Aya Masezerano atangira gukurikizwa mu mezi atatu nyuma y'uko inyandiko ya gatanu yo kuyemeza burundu itanzwe kandi kuri buri gihugu kiyemeje burundu nyuma, mu mezi atatu nyuma y'uko gitanze inyandiko yacyo yo kuyemeza burundu.",
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya XXIV,"1. Ibihugu byose bigize Umuryango
w'Abibumbye, cyangwa bigize ishami
ryihariye iryo ari ryo ryose mu mashami
yihariye yawo cyangwa bigize Ikigo
mpuzamahanga cyita ku ngufu za kirimbuzi
bitari bihagarariwe mu nama mpuzamahanga
yigaga ku buryozwe bw'indishyi ku
byangijwe n'ingufu za kirimbuzi yateraniye i
Viyene kuva ku wa 29 Mata kugeza ku wa 19
Gicurasi 1963, bishobora kwemera kuba
bimwe mu bihugu biyahuriyeho. 2. Inyandiko zo kwemera kuba kimwe mu
bihugu bihuriye kuri aya Masezerano
zishyikirizwa Umuyobozi mukuru w'Ikigo
mpuzamahanga cyita ku ngufu za kirimbuzi  3. Aya Masezerano atangira gukurikizwa ku
gihugu cyemeye kuba kimwe mu
biyahuriyeho mu mezi atatu nyuma y'itariki
cyatangiyeho inyandiko yacyo yo kwemera
kuba kimwe mu bihugu biyahuriyeho, ariko
ntibibe mbere y'uko aya Masezerano atangira
gukurikizwa hakurikijwe ibiteganywa
n'ingingo ya XXIII.",
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya XXV,"1. Aya Masezerano akomeza gukurikizwa mu gihe cy'imyaka icumi uhereye ku itariki yatangiriye gukurikizwaho. Igihugu icyo ari cyo cyose kiri muri aya Masezerano, gishobora gutanga integuza nibura y’amezi cumi n’abiri mbere y’uko icyo gihe kirangira kibimenyesheje Umuyobozi mukuru w'Ikigo mpuzamahanga cyita ku ngufu za kirimbuzi byibura mu mezi cumi n'abiri mbere y'uko icyo gihe kirangira, ishyira iherezo ku ikurikizwa ry’aya Masezerano kuri cyo ubwacyo igihe cy’imyaka icumi kirangiye.  2. Aya Masezerano akomeza gukurikizwa
nyuma y'icyo gihe cy'imyaka icumi, mu kindi
cy'imyaka itanu kuri ibyo bihugu bihuriye
kuri aya Masezerano bitahagaritse
kuyakurikiza hakurikijwe ibiteganywa
n'igika cya 1 cy'iyi ngingo, ndetse na nyuma
buri bihe bikurikirana by'imyaka itanu kuri
buri kimwe muri ibyo bihugu bihuriye kuri
aya Masezerano bitahagaritse kuyakurikiza
ku mpera z'ibyo bihe, bibimenyesheje
Umuyobozi mukuru w'Ikigo mpuzamahanga
cyita ku ngufu za kirimbuzi, bitanga integuza  nibura y’amezi cumi n'abiri mbere yo
kurangira kwa kimwe muri ibyo bihe. ",
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya XXVI,"1. Inama itumizwa n’Umuyobozi mukuru w'Ikigo mpuzamahanga cyita ku ngufu za kirimbuzi igihe icyo ari cyo cyose nyuma y'irangira ry'igihe cy'imyaka itanu uhereye ku itariki aya Masezerano yatangiriye gukurikizwaho kugira ngo hasuzumwe ivugururwa, iyo kimwe cya gatatu cy'ibihugu bihuriye kuri aya Masezerano byerekanye ko bibyifuza. 2. Igihugu icyo ari cyo cyose mu bihuriye
kuri aya Masezerano gishobora kuyivanamo
kimenyesha Umuyobozi mukuru w'Ikigo
mpuzamahanga cyita ku ngufu za kirimbuzi
mu gihe cy'amezi cumi n'abiri akurikira
inama ya mbere y'ivugururwa yateranye
hakurikjwe ibiteganywa n'igika cya 1 cy'iyi
ngingo.
  3. Kwivana muri aya Masezerano bigira
agaciro umwaka umwe nyuma y'itariki
imenyeshwa ryabyo ryakiriweho n'Umuyobozi mukuru w'Ikigo
mpuzamahanga cyita ku ngufu za kirimbuzi.
 ",
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya XXVII,"Umuyobozi mukuru w'Ikigo mpuzamahanga cyita ku ngufu za kirimbuzi amenyesha ibihugu byatumiwe mu nama mpuzamahanga yiga uburyozwe ku ndishyi z'ibyangijwe n'ingufu za kirimbuzi yateraniye i Viyene kuva ku wa 29 Mata kugeza ku wa 19 Gicurasi 1963 kimwe n'ibihugu byemeye kuba bimwe mu bihugu bihuriye kuri aya Masezerano mu buryo bukurikira: (a) imikono n'inyandiko zo kwemeza
burundu aya Masezerano n'izo kwemera
kuba kimwe mu bihugu biyahuriyeho
byakiriwe hakurikijwe ibiteganywa
n'ingingo ya XXI, iya XXII n'iya XXIV;  (b) itariki aya Masezerano atangirira
gukurikizwa hakurikijwe ibiteganywa
n'ingingo ya XXIII;  (c) amamenyesha yo guhagarika no kwivana
muri aya Masezerano yakiriwe hakurikijwe
ibiteganywa n'ingingo ya XXV n'iya XXVI;  (d) ubusabe bwo gutumiza inama
y'ivugururwa hakurikijwe ibiteganywa
n'ingingo ya XXVI.
 ",
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya XXVIII,Aya Masezerano yandikishwa n'Umuyobozi mukuru w'Ikigo mpuzamahanga cyita ku ngufu za kirimbuzi hakurikijwe ibiteganywa n'ingingo ya 102 y'Amasezerano Mpuzamahanga ashyiraho Umuryango w'Abibumbye.,
AMASEZERANO MPUZAMAHANGA Y'I VIYENE YEREKEYE UBURYOZWE BW'INDISHYI Z’IBYANGIJWE N'INGUFU ZA KIRIMBUZI,Amasezerano mpuzamahanga,NA,NA,Ingingo ya XXIX,"Inyandiko y'umwimerere y'aya Masezerano, iri mu ndimi z'Icyongereza, Igifaransa, Ikirusiya n'Icyesipanyolo zose zinganya agaciro, ishyikirizwa Umuyobozi mukuru w'Ikigo mpuzamahanga cyita ku ngufu za kirimbuzi, na we agatanga inyandukuro zayo zihuje n’umwimerere.",
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA MBERE: INGINGO RUSANGE,NA,Ingingo ya mbere: Icyo aya mabwiriza agamije,Aya mabwiriza agenga imyifatire y’abahesha b’inkiko b’umwuga,
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA MBERE: INGINGO RUSANGE,NA,Ingingo ya 2: Igisobanuro cy’umukiliya,"Muri aya mabwiriza, « umukiliya » bivuga umuntu wese usaba serivisi zitangwa n’umuhesha w’inkiko cyangwa wamuhaye ubutumwa.",
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA II: INSHINGANO Z’ABAHESHA B’INKIKO B’UMWUGA,Icyiciro cya mbere : Inshingano rusange,Ingingo ya 3: Kurangwa n’ubunyamwuga,"Umuhesha w’inkiko w’umwuga agomba : 1 º gukora akazi ke mu buryo butabogamye, mu kinyabupfura, yicisha bugufi kandi yanga umugayo ; 2 º kwirinda gukoresha uburyo cyangwa kugira imyitwarire byatuma icyubahiro n’ubunyangamugayo biranga umwuga bihungabana ; 3 º kwirinda imyitwarire n’ibikorwa bishobora kubabaza, gutesha agaciro cyangwa gukomeretsa umutima w’umuntu uwo ari we wese; 4 º kwirinda gutanga inama zidakwiriye cyangwa ziterekeranye n’umwuga we ; 5 º kugira imyambarire iberanye n’umwuga akora; 6 º gukurikiza amategeko mu mikorere ye, 
kubaha no kwiyubaha; 
 
7 º kwigirira icyizere no guharanira ukuri; 
 
 
8 º kwishyura ku neza urubanza 
yatsinzwe, abisabwe n’ uwatsinze 
kandi  nta mananiza.",
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA II: INSHINGANO Z’ABAHESHA B’INKIKO B’UMWUGA,Icyiciro cya mbere : Inshingano rusange,Ingingo ya 4: Ubudakemwa,Umuhesha w’inkiko w’umwuga agomba: 1 º gukora inshingano ze z’umwuga mu budakemwa; 2 º kutakira impano kugira ngo akunde akore cyangwa yange gukora igikorwa kiri mu nshingano ze; 3 º kutakira ibindi bihembo by’inyongera ibyo ari byo byose mu gihe ari mu kazi ke.,
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA II: INSHINGANO Z’ABAHESHA B’INKIKO B’UMWUGA,Icyiciro cya mbere : Inshingano rusange,Ingingo ya 5: Kwiyungura ubumenyi,"Umuhesha w’inkiko w’umwuga agomba gukora akazi ke atanyuranya n’amategeko n’imigenzo bisanzwe biranga umwuga. Kugira ngo ibyo bigerweho, Umuhesha w’inkiko w’umwuga agomba guhora yiyungura ubumenyi mu bijyanye n’umwuga no gukora ibishoboka mu kwiyungura no guteza imbere ubumenyi bw’umwuga we Mu kazi ke, umuhesha w’inkiko w’umwuga 
agomba kugisha inama bagenzi be basangiye 
umwuga cyangwa undi muntu ubifitiye 
ubushobozi, mbere yo gukora igikorwa 
adafitemo ubumenyi buhagije. ",
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA II: INSHINGANO Z’ABAHESHA B’INKIKO B’UMWUGA,Icyiciro cya mbere : Inshingano rusange,Ingingo ya 6: Guhora yiteguye kwakira umugana no kwita ku bibazo bye,Umuhesha w’inkiko w’umwuga agomba guhora yiteguye kwakira abamugana no kwita ku bibazo byose agezwaho bijyanye n’inshingano ze. Umuhesha w’inkiko w’umwuga agomba guha umukiliya we ibisobanuro bya ngombwa kugira ngo asobanukirwe neza akazi kakozwe.,
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA II: INSHINGANO Z’ABAHESHA B’INKIKO B’UMWUGA,Icyiciro cya mbere : Inshingano rusange,Ingingo ya 7: Kwirinda igongana ry’inyungu,"Haseguriwe ibiteganywa n’ingingo ya 63 y’Itegeko n° 12/2013 ryo ku wa 22/03/2013 rigenga umurimo w’abahesha b’inkiko, umuhesha w’inkiko w’umwuga agomba kwirinda igongana ry’inyungu. Igongana ry’inyungu ribaho iyo: 1 º umuhesha w’inkiko w’umwuga ashyira imbere inyungu ze cyangwa iz’undi kurusha iz’umukiliya; 2 º asabwa gukorera imirimo ijyanye n’umwuga we umufatanyabikorwa cyangwa umunyamigabane w’isosiyete umuhesha w’inkiko akoreramo 
umwuga we. 
 
 
 
Iyo umuhesha w’inkiko w’umwuga abona hari 
igongana ry’inyungu, agomba guhita 
abimenyesha umukiliya we mu nyandiko, 
akagenera kopi Perezida w’Urugaga 
rw’Abahesha b’Inkiko na Minisitiri 
w’Ubutabera. ",
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA II: INSHINGANO Z’ABAHESHA B’INKIKO B’UMWUGA,Icyiciro cya 2: Inshingano yo kubahisha umwuga,Ingingo ya 8: Gutanga service inoze,"Umuhesha w’inkiko agomba kwirinda gukora umwuga we mu buryo bwatuma ireme rya serivisi atanga rikemangwa. Umuhesha w’inkiko w’umwuga ukeka ko zimwe muri serivisi asabwa cyangwa zose zishobora gutangwa neza n’undi muntu, agomba kubimenyesha umukiliya we mu nyandiko, akagenera kopi Perezida w’Urugaga rw’Abahesha b’Inkiko na Minisitiri w’Ubutabera.",
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA II: INSHINGANO Z’ABAHESHA B’INKIKO B’UMWUGA,Icyiciro cya 2: Inshingano yo kubahisha umwuga,Ingingo ya 9: Guteza imbere umwuga,"Umuhesha w’inkiko w’umwuga agomba kugira uruhare mu guteza imbere umwuga ahanahana ubumenyi n’inarararibonye na bagenzi be, amenyereza umwuga abawinjiyemo, kandi yitabira amasomo n’amahugurwa ahoraho. ",
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA II: INSHINGANO Z’ABAHESHA B’INKIKO B’UMWUGA,Icyiciro cya 2: Inshingano yo kubahisha umwuga,Ingingo ya 10: Ubufatanye mu kubahiriza itegeko,Abahesha b’inkiko bakora mu rwego rw’ubufatanye bagomba kureba ko ubufatanye bwabo kimwe n’abantu bose bakorana mu mwuga bubahiriza ibiteganywa n’Itegeko rigenga umwuga w’abahesha b’inkiko n’aya mabwiriza agenga imyitwarire y’abahesha b’inkiko b’umwuga.,
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA II: INSHINGANO Z’ABAHESHA B’INKIKO B’UMWUGA,Icyiciro cya 2: Inshingano yo kubahisha umwuga,Ingingo ya 11: Inshingano yo kwambara ikirango,Umuhesha w’inkiko w’umwuga uri mu kazi agomba kwambara ikirango cyabugenewe kimuranga.,
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA II: INSHINGANO Z’ABAHESHA B’INKIKO B’UMWUGA,Icyiciro cya 2: Inshingano yo kubahisha umwuga,Ingingo ya 12: Inshingano yo kugaragaza ikimugenza,"Umuhesha w’inkiko w’umwuga uri mu kazi agomba gusobanurira uwo agana ikimugenza mu kinyabupfura, atamuhutaje. Abujijwe gutanga ibisobanuro biyobya, cyangwa bigerageza kuyobya rubanda ku bushake.",
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA II: INSHINGANO Z’ABAHESHA B’INKIKO B’UMWUGA,Icyiciro cya 3: Inshingano umuhesha w’inkiko w’umwuga afite ku bakiliya,Ingingo ya 13: Inshingano yo kugirana amasezerano yanditse,Umuhesha w’Inkiko w’umwuga agomba kugirana amasezerano mu nyandiko n’umukiliya yerekeranye n’imikoranire yabo. Amasezerano yanditse avugwa mu gika cya mbere cy’iyi ngingo agomba kugaragaza inshingano za buri wese n’igihembo bunvikanyweho.,
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA II: INSHINGANO Z’ABAHESHA B’INKIKO B’UMWUGA,Icyiciro cya 3: Inshingano umuhesha w’inkiko w’umwuga afite ku bakiliya,Ingingo ya 14: Kubahiriza amasezerano,"Umuhesha w’inkiko w’umwuga afite inshingano yo guha umukiliya serivisi nk’uko babyemeranije mu masezerano yabo keretse iyo atabishoboye kubera impamvu yumvikana. Iyo umuhesha w’inkiko w’umwuga yiyemeje kudaha serivisi umukiliya nk’uko baba babyiyemeje mu masezerano yabo, aha umukiliya integuza yanditse y’iminsi itatu (3). Icyo gihe, amasezerano yagiranye n’umukiliya araseswa, haba hari amafaranga yishyuwe arenga ku gaciro k’ibyo yakoze, akayasubiza umukiliya, hamwe na dosiye. Umuhesha w’inkiko w’umwuga kandi agomba kumenyesha mu nyandiko umukiliya impamvu zituma atamuha serivisi",
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA II: INSHINGANO Z’ABAHESHA B’INKIKO B’UMWUGA,Icyiciro cya 3: Inshingano umuhesha w’inkiko w’umwuga afite ku bakiliya,Ingingo ya 15: Kwirinda guteza igihombo umukiliya,Umuhesha w’inkiko w’umwuga agomba gukora ibishoboka kugira ngo yirinde guteza umukiliya we igihombo cyashoboraga kwirindwa.,
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA II: INSHINGANO Z’ABAHESHA B’INKIKO B’UMWUGA,Icyiciro cya 3: Inshingano umuhesha w’inkiko w’umwuga afite ku bakiliya,Ingingo ya 16: Kubahiriza uburenganzira bw’umukiliya bwo gusuzuma cyangwa guhabwa kopi y’inyandiko,"Bitabangamiye ibiteganywa mu yandi mategeko, umuhesha w’inkiko agomba kubahiriza uburenganzira bw’umukiliya bwo gusuzuma cyangwa guhabwa kopi y’inyandiko. Umuhesha w’inkiko w’umwuga asubiza ubusabe bw’umukiliya mu gihe kitarenze iminsi itatu (3) uhereye aho yasabiye kopi y’iyo nyandiko. Haseguriwe ku biteganywa n’izindi ngingo z’andi mategeko, umukiliya wese wasabye kopi y’inyandiko ayibona nta kiguzi.",
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA II: INSHINGANO Z’ABAHESHA B’INKIKO B’UMWUGA,Icyiciro cya 3: Inshingano umuhesha w’inkiko w’umwuga afite ku bakiliya,Ingingo ya 17: Uburenganzira bw’umuhesha w’inkiko bwo kwifashisha mugenzi we,Umuhesha w’inkiko w’umwuga ashobora kwiyambaza mugenzi we mu kuzuza inshingano ze.,
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA II: INSHINGANO Z’ABAHESHA B’INKIKO B’UMWUGA,Icyiciro cya 3: Inshingano umuhesha w’inkiko w’umwuga afite ku bakiliya,Ingingo ya 18: Inyandikomvugo y’irangizarubanza,"Umuhesha w’inkiko w’umwuga akora inyandikomvugo y’irangizarubanza, igaragaramo: 1 º amazina n’umukono w’umuhesha w’inkiko w’umwuga; 2 º amazina n’umukono by’uwatsinze urubanza; 3 º amazina n’umukono by’uwatsinzwe urubanza; 4 º amazina n’imikono y’abatangabuhamya babiri (2). Iyo ababuranye badahari, bishyirwa mu nyandiko mvugo y’irangizarubanza.",
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA III: IBIBUJIJWE,NA,Ingingo ya 19: Ibikorwa by’iyamamaza bitemewe,"Umuhesha w’inkiko w’umwuga abujijwe gukora cyangwa gutuma habaho igikorwa cy’iyamamaza cy’ikinyoma, cy’uburiganya cyangwa kituzuye cyangwa gishobora kuyobya rubanda.",
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA III: IBIBUJIJWE,NA,Ingingo ya 20: Kubuza gukoresha ikirango cya Minisiteri y’Ubutabera,"Nta muhesha w’inkiko w’umwuga wemerewe gukoresha ibirango bya Minisiteri y’Ubutabera mu buryo cyangwa impamvu iyo ari yo yose, uretse ku kirango kivugwa mu ngingo ya 11 y’aya mabwiriza.",
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA IV: INGINGO ZINYURANYE N’IZISOZA,NA,Ingingo 21: Ibigize itangazo cyangwa ubutumwa bw’iyamamaza,Itangazo cyangwa ubutumwa bw’iyamamaza by’umuhesha w’inkiko w’umwuga biba bigizwe n’ibi bikurikira: 1 º amazina y’umuhesha w’inkiko w’umwuga; 2 º urwego rw’umuhesha w’inkiko; 3 º izina ry’ubwifatanye umuhesha w’inkiko akoreramo iyo buhari; 4 º nomero y’urubanza; 5 º urukiko rwaciye urubanza; 6 º amazina y’ababuranyi; 7 º aho igikorerwa itangazo cyangwa ubutumwa bw’iyamamaza giherereye; 8 º ikindi cyatuma itangazo cyangwa ubutumwa bw’iyamamaza bisobanuka.,
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA III: IBIBUJIJWE,NA,Ingingo ya 22: Ibihano,"Bitabangamiye uburyozwe mbonezamubano cyangwa nshinjabyaha, umuhesha w’inkiko w’umwuga utubahirije ibiteganywa n’aya mabwiriza agenga imyitwarire, ahanwa hakurikijwe ibiteganywa n’Itegeko rigenga umwuga w’abahesha b’inkiko n’amategeko ngengamikorere y’Urugaga rw’abahesha b’inkiko b’umwuga.",
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA III: IBIBUJIJWE,NA,Ingingo ya 23: Abashinzwe kubahiriza aya mabwiriza,Inama Nyobozi y’Urugaga rw’Abahesha b’Inkiko b’Umwuga ishinzwe kubahiriza aya amabwiriza.,
AMABWIRIZA YA MINISITIRI N°004/MOJ/ACT.2015 RYO KU WA 02/11/2015 AGENGA IMYIFATIRE Y’ABAHESHA B’INKIKO B’UMWUGA,Amabwiriza,UMUTWE WA III: IBIBUJIJWE,NA,Ingingo ya 24: Igihe amabwiriza atangira gukurikizwa,"Aya mabwiriza atangira gukurikizwa ku munsi atangarijweho mu Igazeti ya Leta ya Repubulika y’u Rwanda. Kigali, ku wa 02/11/2015",
